Nivel,Parte 1,Parte 2,Parte 3
3,3.75,0,0
9,4.25,4.25,3.75
7,4.75,4,1.75
1,1.25,0,0
1,1.75,0,0
2,3,0,0
4,4,1.5,0
3,3.5,0,0
1,1.5,0,0
5,4,3,0
9,5,4.75,4
2,2.75,0,0
9,5,4.25,4.25
2,3,0,0
2,2,0,0
3,3.75,0,0
9,5,4.75,4.75
2,3,0,0
1,1.75,0,0
9,4.5,4.5,4.75
6,5,3.5,0
1,0.75,0,0
8,4.5,4,2.75
2,2.25,0,0
2,2,0,0
1,1.5,0,0
8,4.5,4,2.5
1,1.75,0,0
2,3.25,0,0
2,2.25,0,0
2,2.75,0,0
5,4.5,3.25,0
2,3.25,0,0
3,3.50,0,0
2,2.75,0,0
2,2.25,0,0
8,4.5,4,2.25
2,2,0,0
6,4,3.5,0
2,2.50,0,0
3,3.50,0,0
2,2.00,0,0
2,2.00,0,0
2,2.50,0,0
2,3.00,0,0
2,2.00,0,0
2,2.75,0,0
5,4.25,2.75,0
6,4.25,3.75,0
1,1,0,0
6,4.5,3.5,0
9,4.75,4.5,4
1,1.50,0,0
1,1.00,0,0
2,3.25,0,0
2,3.00,0,0
2,2.75,0,0
5,4,3.25,0
1,1.75,0,0
5,4,2,0
2,2.25,0,0
2,2.50,0,0
1,1.75,0,0
3,3.75,0,0
5,4.25,2.75,0
2,2,0,0
2,2,0,0
8,4.25,4.25,2.75
1,1.5,0,0
8,4.75,4.5,3.25
3,3.5,0,0
9,5,4.25,4.5
5,4.25,2,0
6,4,3.5,0
5,4,2.25,0
6,4.5,3.5,0
3,3.75,0,0
9,4.75,4.25,3.5
8,4.5,4.5,2
2,2,0,0
9,5,4.75,4.25
2,2.75,0,0
3,3.5,0,0
3,3.5,0,0
2,3,0,0
9,4.5,4,4.25
2,2.5,0,0
1,0.75,0,0
1,1.25,0,0
2,2,0,0
8,4.75,4.5,2.5
3,3.5,0,0
9,4.75,4.25,4.5
2,3,0,0
2,2.5,0,0
5,4.75,3,0
9,4.5,4.25,4.25
3,3.5,0,0
2,2.5,0,0
3,3.5,0,0
2,3,0,0
2,2.25,0,0
9,5,4.75,4.75
3,3.5,0,0
3,3.5,0,0
9,4.5,4,4
5,4.25,3.25,0
2,2,0,0
2,2,0,0
9,4.75,4,3.75
6,4.5,3.75,0
2,2.5,0,0
5,4,2.5,0
9,4.75,4.25,4
9,4.5,4.5,3.5
3,3.75,0,0
3,3.75,0,0
2,2,0,0
1,1.75,0,0
8,5,4,3.25
8,4,4,3
6,4.75,3.75,0
6,4.25,3.75,0
9,4.25,4.25,3.5
3,3.75,0,0
6,4.75,3.75,0
1,1.75,0,0
5,4.5,2.25,0
6,4.75,3.75,0
2,3.25,0,0
3,3.75,0,0
2,3,0,0
3,3.5,0,0
8,4.5,4.25,2.5
6,4.5,3.75,0
5,4,3,0
9,5,5,4.75
2,2.5,0,0
2,2.5,0,0
9,4.5,4,4.25
2,2,0,0
2,2.25,0,0
2,2.5,0,0
3,3.5,0,0
1,1.75,0,0
7,4.25,4.25,1.75
8,4.5,4.25,2.75
5,4.5,2.75,0
1,1.75,0,0
6,4.25,3.5,0
2,3,0,0
9,4.75,4.75,3.5
2,2.5,0,0
1,1.75,0,0
9,4.5,4.25,3.75
2,2.5,0,0
5,4,3.25,0
2,3.25,0,0
3,3.5,0,0
9,4.75,4.75,4
1,1.25,0,0
2,3.25,0,0
9,5,5,4.5
5,4,2.5,0
2,3.25,0,0
6,4,3.75,0
2,2.5,0,0
6,4.5,3.75,0
1,1.75,0,0
2,2,0,0
8,4,4.25,3.25
9,5,4.75,4.75
2,3.25,0,0
2,2,0,0
3,3.5,0,0
9,5,4,3.75
2,3.25,0,0
3,3.75,0,0
2,2.25,0,0
8,5,4.25,2.75
5,4,2.25,0
3,3.75,0,0
6,4,3.75,0
8,4,4,2.5
1,1.5,0,0
2,2.75,0,0
5,4.5,3.25,0
2,2.75,0,0
3,3.5,0,0
2,2.5,0,0
2,3,0,0
5,4.75,2,0
6,4.75,3.75,0
2,2.25,0,0
0,0.25,0,0
2,2.75,0,0
3,3.5,0,0
3,3.5,0,0
2,2.5,0,0
2,2.25,0,0
2,2,0,0
3,3.75,0,0
2,2.75,0,0
