Nivel,Parte 1,Parte 2,Parte 3
1,3.75,0,0
5,4.25,4.25,3.75
4,4.75,4,1.75
0,1.25,0,0
0,1.75,0,0
1,3,0,0
2,4,1.5,0
1,3.5,0,0
0,1.5,0,0
3,4,3,0
5,5,4.75,4
0,2.75,0,0
5,5,4.25,4.25
1,3,0,0
0,2,0,0
1,3.75,0,0
5,5,4.75,4.75
1,3,0,0
0,1.75,0,0
5,4.5,4.5,4.75
3,5,3.5,0
0,0.75,0,0
4,4.5,4,2.75
0,2.25,0,0
0,2,0,0
0,1.5,0,0
4,4.5,4,2.5
0,1.75,0,0
1,3.25,0,0
0,2.25,0,0
0,2.75,0,0
3,4.5,3.25,0
1,3.25,0,0
1,3.50,0,0
0,2.75,0,0
0,2.25,0,0
4,4.5,4,2.25
0,2,0,0
3,4,3.5,0
0,2.50,0,0
1,3.50,0,0
0,2.00,0,0
0,2.00,0,0
0,2.50,0,0
1,3.00,0,0
0,2.00,0,0
0,2.75,0,0
2,4.25,2.75,0
3,4.25,3.75,0
0,1,0,0
3,4.5,3.5,0
5,4.75,4.5,4
0,1.50,0,0
0,1.00,0,0
1,3.25,0,0
1,3.00,0,0
0,2.75,0,0
3,4,3.25,0
0,1.75,0,0
2,4,2,0
0,2.25,0,0
0,2.50,0,0
0,1.75,0,0
1,3.75,0,0
0,1.5,0,0
5,4.75,4.5,3.25
1,3.5,0,0
5,5,4.25,4.5
2,4.25,2,0
3,4,3.5,0
2,4,2.25,0
3,4.5,3.5,0
1,3.75,0,0
5,4.75,4.25,3.5
4,4.5,4.5,2
0,2,0,0
5,5,4.75,4.25
0,2.75,0,0
1,3.5,0,0
1,3.5,0,0
1,3,0,0
5,4.5,4,4.25
0,2.5,0,0
0,0.75,0,0
0,1.25,0,0
0,2,0,0
4,4.75,4.5,2.5
1,3.5,0,0
5,4.75,4.25,4.5
1,3,0,0
0,2.5,0,0
3,4.75,3,0
5,4.5,4.25,4.25
1,3.5,0,0
0,2.5,0,0
1,3.5,0,0
1,3,0,0
1,2.25,0,0
5,5,4.75,4.75
1,3.5,0,0
1,3.5,0,0
5,4.5,4,4
3,4.25,3.25,0
0,2,0,0
0,2,0,0
